studbook_id,slug,wiki_born,wiki_died,isb_birth,isb_birth_norm,isb_approx,isb_sex,isb_taxon,isb_name,isb_sire,isb_dam,isb_death
9052,yuu-yuu-1990-06-25,1990-06-25,2005-08-16,25 Jun 1990,1990-06-25,False,M,styani,JAZGA,8639,8640,2005-08-16
9054,shin-shin-1990-06-26,1990-06-26,2007-10-25,26 Jun 1990,1990-06-26,False,M,styani,JAZGA,8319,8626,2007-10-25
9055,tai-tai-1990-06-26,1990-06-26,1999-03-27,26 Jun 1990,1990-06-26,False,M,styani,JAZGA,8319,8626,1999-03-27
9056,hana-1990-06-29,1990-06-29,2005-11-10,29 Jun 1990,1990-06-29,False,F,styani,HANA,8752,8714,2005-11-10
9059,jirou-1990-07-06,1990-07-06,2007-08-17,6 Jul 1990,1990-07-06,False,M,styani,JAZGA,8713,8753,2007-08-17
9167,maho-1991-06-06,1991-06-06,1999-05-09,6 Jun 1991,1991-06-06,False,F,styani,MAHO,8713,8535,1999-05-09
9169,chi-chi-1991-06-16,1991-06-16,2009-12-16,16 Jun 1991,1991-06-16,False,F,styani,JAZGA,8856,8915,
9171,chao-chao-1991-06-18,1991-06-18,2013-07-30,18 Jun 1991,1991-06-18,False,F,styani,AKANE,8752,8714,
9172,kaori-1991-06-18,1991-06-18,2003-12-21,18 Jun 1991,1991-06-18,False,F,styani,KAORI,8752,8714,2003-12-21
9177,kusu-1991-06-24,1991-06-24,2015-07-15,24 Jun 1991,1991-06-24,False,M,styani,KUSU,8752,8628,
9179,santa-1991-06-29,1991-06-29,2005-07-28,29 Jun 1991,1991-06-29,False,M,styani,JAZGA,8713,8840,2005-07-28
9183,kozue-1991-07-04,1991-07-04,2009-04-16,4 Jul 1991,1991-07-04,False,F,styani,JAZGA,8924,8838,
9185,chin-chin-1991-07-14,1991-07-14,2009-02-17,14 Jul 1991,1991-07-14,False,M,styani,CHIN-CHIN JAZGA,8856,8857,
9186,suku-suku-1991-07-18,1991-07-18,2009-03-16,18 Jul 1991,1991-07-18,False,F,styani,JAZGA,8935,8936,
9254,yan-yan-1992-06-19,1992-06-19,2010-07-04,19 Jun 1992,1992-06-19,False,M,styani,YOU-YOU,8924,8833,
9255,sai-sai-1992-06-19,1992-06-19,2006-07-01,19 Jun 1992,1992-06-19,False,F,styani,SAISAI,8924,8833,2006-07-01
9256,rin-rin-1992-06-21,1992-06-21,2009-08-20,21 Jun 1992,1992-06-21,False,F,styani,RIN-RIN,9052,8535,
9257,ran-1992-06-21,1992-06-21,2011-08-22,21 Jun 1992,1992-06-21,False,F,styani,RUN,9052,8535,
9258,chun-chun-1992-06-22,1992-06-22,2010-02-18,22 Jun 1992,1992-06-22,False,M,styani,JAZGA,8752,8714,
9259,sabatarou-1992-06-22,1992-06-22,2000-02-18,22 Jun 1992,1992-06-22,False,M,styani,JAZGA,8752,8714,2000-02-18
9261,ten-ten-1992-06-26,1992-06-26,2003-03-11,26 Jun 1992,1992-06-26,False,F,styani,YUU-YUU,8935,8936,2003-11-03
9263,pan-pan-1992-06-27,1992-06-27,2011-01-13,27 Jun 1992,1992-06-27,False,M,styani,PAN-PAN,8856,8915,
9264,ken-ken-1992-07-01,1992-07-01,2001-11-25,1 Jul 1992,1992-07-01,False,M,styani,KENKEN,8713,8840,2001-11-25
9265,kuro-1992-07-01,1992-07-01,2009-11-19,1 Jul 1992,1992-07-01,False,M,styani,KURO,8713,8840,
9266,shiro-1992-07-01,1992-07-01,2006-01-20,1 Jul 1992,1992-07-01,False,M,styani,SIRO,8713,8840,2006-01-20
9268,ryou-1992-07-13,1992-07-13,2013-02-13,13 Jul 1992,1992-07-13,False,M,styani,JAZGA,8924,8838,
9269,kouhei-1992-07-13,1992-07-13,2010-11-26,13 Jul 1992,1992-07-13,False,M,styani,JAZGA,8924,8838,
